Index,Letter,MidColor,OtherColor,IsNegative,IsCorrect,ResponseTime
0,上吊,Red,Red,True,False,0.010
1,句子,Red,Green,False,False,0.010
2,收取,Red,Red,False,False,0.010
3,變態,Red,Green,True,False,0.010
4,歸類,Red,Green,False,False,0.010
5,預先,Green,Red,False,False,0.010
6,摘要,Red,Green,False,False,0.010
7,發怒,Red,Green,True,False,0.010
8,主義,Red,Green,False,False,0.010
9,血腥,Red,Green,True,False,0.010
10,取向,Green,Red,False,False,0.010
11,哭泣,Green,Red,True,False,0.010
12,收取,Red,Green,False,False,0.010
13,比喻,Green,Red,False,False,0.010
14,比喻,Red,Green,False,False,0.010
15,狠毒,Red,Green,True,False,0.010
16,字形,Green,Red,False,False,0.010
17,要件,Green,Red,False,False,0.010
18,冥想,Green,Red,False,False,0.010
19,挑釁,Red,Red,True,False,0.010
20,時程,Green,Red,False,False,0.010
21,挑釁,Green,Green,True,False,0.010
22,咆哮,Green,Red,True,False,0.010
23,要件,Red,Green,False,False,0.010
24,由來,Red,Green,False,False,0.001
25,上吊,Green,Red,True,False,0.010
26,畜生,Red,Green,True,False,0.001
27,猥褻,Green,Green,True,False,0.001
28,底下,Red,Red,False,False,0.001
29,循環,Green,Red,False,False,0.001
30,欺騙,Green,Green,True,False,0.001
31,通往,Red,Red,False,False,0.001
32,暴躁,Red,Green,True,False,0.001
33,咆哮,Green,Green,True,False,0.001
34,激怒,Green,Green,True,False,0.001
35,激怒,Green,Red,True,False,0.001
36,默想,Green,Red,False,False,0.001
37,沿途,Green,Green,False,False,0.001
38,驚嚇,Red,Green,True,False,0.001
39,猥褻,Red,Green,True,False,0.001
40,循環,Green,Green,False,False,0.001
41,預先,Green,Green,False,False,0.001
42,亂倫,Green,Green,True,False,0.001
43,強姦,Green,Red,True,False,0.001
44,選取,Red,Green,False,False,0.001
45,詛咒,Red,Red,True,False,0.001
46,溺斃,Green,Green,True,False,0.001
47,摘要,Red,Red,False,False,0.001
48,取向,Green,Green,False,False,0.001
49,主義,Green,Red,False,False,0.001
50,屬性,Red,Green,False,False,0.001
51,猥褻,Red,Red,True,False,0.001
52,溺斃,Red,Green,True,False,0.001
53,字形,Red,Green,False,False,0.001
54,亂倫,Red,Green,True,False,0.001
55,歸類,Red,Red,False,False,0.001
56,沿途,Red,Red,False,False,0.001
57,默想,Red,Red,False,False,0.001
58,殘忍,Red,Red,True,False,0.001
59,配套,Green,Red,False,False,0.001
60,歸類,Green,Green,False,False,0.001
61,檢閱,Green,Red,False,False,0.001
62,空地,Green,Red,False,False,0.001
63,概要,Red,Green,False,False,0.001
64,悲慟,Red,Red,True,False,0.001
65,默想,Green,Green,False,False,0.001
66,配套,Red,Green,False,False,0.001
67,空地,Red,Green,False,False,0.001
68,檢閱,Red,Green,False,False,0.001
69,血腥,Red,Red,True,False,0.001
70,句子,Red,Red,False,False,0.001
71,發怒,Red,Red,True,False,0.001
72,屠殺,Red,Red,True,False,0.001
73,變態,Green,Green,True,False,0.001
74,暴躁,Green,Red,True,False,0.001
75,暴虐,Green,Red,True,False,0.001
76,砍頭,Green,Green,True,False,0.001
77,時程,Red,Red,False,False,0.001
78,思量,Red,Red,False,False,0.001
79,暴虐,Green,Green,True,False,0.001
80,用語,Green,Red,False,False,0.001
81,收取,Green,Green,False,False,0.001
82,用語,Red,Green,False,False,0.001
83,憤怒,Red,Green,True,False,0.001
84,摘要,Green,Green,False,False,0.001
85,前言,Green,Green,False,False,0.001
86,畜生,Red,Red,True,False,0.001
87,暴躁,Green,Green,True,False,0.001
88,上吊,Green,Green,True,False,0.001
89,哭泣,Green,Green,True,False,0.001
90,默想,Red,Green,False,False,0.001
91,暴虐,Red,Red,True,False,0.001
92,憤怒,Green,Green,True,False,0.001
93,暴躁,Red,Red,True,False,0.001
94,血腥,Green,Green,True,False,0.001
95,發怒,Green,Green,True,False,0.001
96,底下,Green,Green,False,False,0.001
97,厚度,Red,Green,False,False,0.001
98,屬性,Green,Red,False,False,0.001
99,選取,Red,Red,False,False,0.001
100,崩潰,Green,Red,True,False,0.001
101,段落,Red,Green,False,False,0.001
102,主義,Red,Red,False,False,0.001
103,空地,Red,Red,False,False,0.001
104,額外,Green,Red,False,False,0.001
105,狠毒,Green,Red,True,False,0.001
106,額外,Green,Green,False,False,0.001
107,激怒,Red,Red,True,False,0.001
108,上吊,Red,Green,True,False,0.001
109,崩潰,Green,Green,True,False,0.001
110,字形,Red,Red,False,False,0.001
111,前言,Red,Green,False,False,0.001
112,血腥,Green,Red,True,False,0.001
113,哭泣,Red,Red,True,False,0.001
114,由來,Red,Red,False,False,0.001
115,凌虐,Red,Green,True,False,0.001
116,循環,Red,Green,False,False,0.001
117,由來,Green,Red,False,False,0.001
