Index,Letter,MidColor,OtherColor,IsNegative,IsCorrect,ResponseTime,ColorIsSame
0,屠殺,Red,Red,True,False,0.010,True
1,空地,Red,Red,False,False,0.010,True
2,冥想,Red,Red,False,False,0.010,True
3,分屍,Green,Green,True,False,0.010,True
4,屠殺,Green,Green,True,False,0.010,True
5,強姦,Red,Red,True,False,0.010,True
6,空地,Red,Green,False,False,0.010,False
7,分屍,Red,Red,True,False,0.010,True
8,屠殺,Green,Red,True,False,0.010,False
9,默想,Red,Green,False,False,0.010,False
10,強姦,Red,Green,True,False,0.010,False
11,屠殺,Red,Green,True,False,0.010,False
12,默想,Red,Red,False,False,0.010,True
13,冥想,Red,Green,False,False,0.010,False
14,空地,Green,Green,False,False,0.010,True
15,分屍,Green,Red,True,False,0.010,False
16,默想,Green,Green,False,False,0.010,True
17,分屍,Red,Green,True,False,0.010,False
18,強姦,Green,Green,True,False,0.010,True
19,冥想,Green,Green,False,False,0.010,True
20,默想,Green,Red,False,False,0.010,False
21,冥想,Green,Red,False,False,0.010,False
22,空地,Green,Red,False,False,0.010,False
23,強姦,Green,Red,True,False,0.010,False

總題數,24
正確題數,0
正確率,0.00%
平均反應時間（僅計算正確題）, 0.000 秒
