Index,Stimulus,Direction,Congruency,Emotion,IsPractice,IsCorrect,ResponseTime(s)
0,>>>>>,Right,Congruent,Negative,True,False,0.002
1,<<><<,Right,Incongruent,Neutral,True,False,0.002
2,<<<<<,Left,Congruent,Negative,True,False,0.002
3,<<><<,Right,Incongruent,Negative,True,False,0.002
4,>>>>>,Right,Congruent,Negative,True,False,0.002
5,>><>>,Left,Incongruent,Negative,True,False,0.002
6,>>>>>,Right,Congruent,Neutral,True,False,0.002
7,<<<<<,Left,Congruent,Negative,True,False,0.002
8,<<><<,Right,Incongruent,Neutral,True,False,0.002
9,<<<<<,Left,Congruent,Negative,True,False,0.002
10,<<><<,Right,Incongruent,Negative,True,False,0.002
11,<<><<,Right,Incongruent,Negative,True,False,0.002
12,>><>>,Left,Incongruent,Negative,True,False,0.002
13,>><>>,Left,Incongruent,Neutral,True,False,0.002
14,>><>>,Left,Incongruent,Negative,True,False,0.002
15,>><>>,Left,Incongruent,Neutral,True,False,0.002
16,<<<<<,Left,Congruent,Neutral,True,False,0.002
17,>>>>>,Right,Congruent,Negative,True,False,0.002
18,>>>>>,Right,Congruent,Neutral,True,False,0.002
19,<<><<,Right,Incongruent,Neutral,True,False,0.002
20,>><>>,Left,Incongruent,Negative,True,False,0.002
21,>><>>,Left,Incongruent,Neutral,True,False,0.002
22,<<<<<,Left,Congruent,Neutral,True,False,0.002
23,<<<<<,Left,Congruent,Neutral,True,False,0.002
24,<<><<,Right,Incongruent,Neutral,True,False,0.002
25,<<><<,Right,Incongruent,Negative,True,False,0.002
26,<<<<<,Left,Congruent,Neutral,True,False,0.002
27,>>>>>,Right,Congruent,Neutral,True,False,0.002
28,<<<<<,Left,Congruent,Negative,True,False,0.002
29,>><>>,Left,Incongruent,Neutral,True,False,0.002
30,>>>>>,Right,Congruent,Negative,True,False,0.002
31,>>>>>,Right,Congruent,Neutral,True,False,0.002
32,<<<<<,Left,Congruent,Negative,False,False,0.002
33,<<<<<,Left,Congruent,Negative,False,False,0.002
34,<<><<,Right,Incongruent,Negative,False,False,0.002
35,<<><<,Right,Incongruent,Negative,False,False,0.002
36,>>>>>,Right,Congruent,Negative,False,False,0.002
37,>><>>,Left,Incongruent,Neutral,False,False,0.002
38,<<><<,Right,Incongruent,Neutral,False,False,0.002
39,<<><<,Right,Incongruent,Negative,False,False,0.002
40,<<><<,Right,Incongruent,Neutral,False,False,0.002
41,>><>>,Left,Incongruent,Neutral,False,False,0.002
42,<<<<<,Left,Congruent,Neutral,False,False,0.002
43,>><>>,Left,Incongruent,Negative,False,False,0.002
44,>>>>>,Right,Congruent,Negative,False,False,0.002
45,>>>>>,Right,Congruent,Neutral,False,False,0.002
46,>><>>,Left,Incongruent,Neutral,False,False,0.002
47,>><>>,Left,Incongruent,Neutral,False,False,0.002
48,>>>>>,Right,Congruent,Neutral,False,False,0.002
49,>><>>,Left,Incongruent,Negative,False,False,0.002
50,>>>>>,Right,Congruent,Neutral,False,False,0.002
51,<<<<<,Left,Congruent,Neutral,False,False,0.002
52,>><>>,Left,Incongruent,Negative,False,False,0.002
53,<<<<<,Left,Congruent,Neutral,False,False,0.002
54,>>>>>,Right,Congruent,Neutral,False,False,0.002
55,>>>>>,Right,Congruent,Neutral,False,False,0.002
56,<<<<<,Left,Congruent,Neutral,False,False,0.002
57,>><>>,Left,Incongruent,Neutral,False,False,0.002
58,>>>>>,Right,Congruent,Negative,False,False,0.002
59,<<<<<,Left,Congruent,Negative,False,False,0.002
60,<<<<<,Left,Congruent,Neutral,False,False,0.002
61,>>>>>,Right,Congruent,Neutral,False,False,0.002
62,<<><<,Right,Incongruent,Neutral,False,False,0.002
63,>><>>,Left,Incongruent,Neutral,False,False,0.002
64,<<><<,Right,Incongruent,Neutral,False,False,0.002
65,>><>>,Left,Incongruent,Negative,False,False,0.002
66,>>>>>,Right,Congruent,Negative,False,False,0.002
67,<<<<<,Left,Congruent,Negative,False,False,0.002
68,<<><<,Right,Incongruent,Negative,False,False,0.002
69,>>>>>,Right,Congruent,Neutral,False,False,0.002
70,<<><<,Right,Incongruent,Negative,False,False,0.002
71,<<><<,Right,Incongruent,Neutral,False,False,0.002
72,<<><<,Right,Incongruent,Neutral,False,False,0.002
73,>><>>,Left,Incongruent,Neutral,False,False,0.002
74,<<<<<,Left,Congruent,Negative,False,False,0.002
75,>><>>,Left,Incongruent,Negative,False,False,0.002
76,<<><<,Right,Incongruent,Negative,False,False,0.002
77,<<><<,Right,Incongruent,Negative,False,False,0.002
78,>><>>,Left,Incongruent,Negative,False,False,0.002
79,<<><<,Right,Incongruent,Neutral,False,False,0.002
80,>>>>>,Right,Congruent,Neutral,False,False,0.002
81,>><>>,Left,Incongruent,Negative,False,False,0.002
82,<<<<<,Left,Congruent,Neutral,False,False,0.002
83,<<<<<,Left,Congruent,Neutral,False,False,0.002
84,<<<<<,Left,Congruent,Neutral,False,False,0.002
85,<<<<<,Left,Congruent,Neutral,False,False,0.002
86,<<<<<,Left,Congruent,Negative,False,False,0.002
87,<<><<,Right,Incongruent,Neutral,False,False,0.002
88,<<><<,Right,Incongruent,Neutral,False,False,0.002
89,>>>>>,Right,Congruent,Neutral,False,False,0.002
90,>>>>>,Right,Congruent,Negative,False,False,0.002
91,<<<<<,Left,Congruent,Negative,False,False,0.002
92,>>>>>,Right,Congruent,Neutral,False,False,0.002
93,<<<<<,Left,Congruent,Negative,False,False,0.002
94,>><>>,Left,Incongruent,Neutral,False,False,0.002
95,>><>>,Left,Incongruent,Neutral,False,False,0.002
96,>>>>>,Right,Congruent,Negative,False,False,0.002
97,<<<<<,Left,Congruent,Neutral,False,False,0.002
98,>><>>,Left,Incongruent,Neutral,False,False,0.002
99,<<<<<,Left,Congruent,Neutral,False,False,0.002
100,<<<<<,Left,Congruent,Negative,False,False,0.002
101,<<><<,Right,Incongruent,Negative,False,False,0.002
102,<<<<<,Left,Congruent,Negative,False,False,0.002
103,<<><<,Right,Incongruent,Neutral,False,False,0.002
104,>><>>,Left,Incongruent,Negative,False,False,0.002
105,<<><<,Right,Incongruent,Negative,False,False,0.002
106,<<><<,Right,Incongruent,Neutral,False,False,0.002
107,<<><<,Right,Incongruent,Negative,False,False,0.002
108,<<><<,Right,Incongruent,Negative,False,False,0.002
109,>><>>,Left,Incongruent,Negative,False,False,0.002
110,<<><<,Right,Incongruent,Neutral,False,False,0.002
111,>><>>,Left,Incongruent,Neutral,False,False,0.002
112,<<><<,Right,Incongruent,Negative,False,False,0.002
113,>><>>,Left,Incongruent,Negative,False,False,0.002
114,>>>>>,Right,Congruent,Negative,False,False,0.002
115,>>>>>,Right,Congruent,Neutral,False,False,0.002
116,>><>>,Left,Incongruent,Negative,False,False,0.002
117,>>>>>,Right,Congruent,Negative,False,False,0.002
118,>>>>>,Right,Congruent,Neutral,False,False,0.002
119,<<<<<,Left,Congruent,Neutral,False,False,0.002
120,>>>>>,Right,Congruent,Negative,False,False,0.002
121,<<<<<,Left,Congruent,Negative,False,False,0.002
122,>><>>,Left,Incongruent,Negative,False,False,0.002
123,>>>>>,Right,Congruent,Negative,False,False,0.002
124,<<<<<,Left,Congruent,Negative,False,False,0.002
125,>>>>>,Right,Congruent,Negative,False,False,0.002
126,>><>>,Left,Incongruent,Neutral,False,False,0.002
127,>>>>>,Right,Congruent,Negative,False,False,0.002
128,<<<<<,Left,Congruent,Negative,False,False,0.002
129,<<<<<,Left,Congruent,Neutral,False,False,0.002
130,<<><<,Right,Incongruent,Neutral,False,False,0.002
131,<<><<,Right,Incongruent,Neutral,False,False,0.002
132,>>>>>,Right,Congruent,Neutral,False,False,0.000
133,<<<<<,Left,Congruent,Negative,False,True,0.000
134,<<><<,Right,Incongruent,Neutral,False,False,0.002
135,>><>>,Left,Incongruent,Neutral,False,True,0.000
136,>><>>,Left,Incongruent,Negative,False,True,0.000
137,>>>>>,Right,Congruent,Negative,False,False,0.000
138,<<><<,Right,Incongruent,Neutral,False,False,0.002
139,<<><<,Right,Incongruent,Negative,False,False,0.000
140,<<><<,Right,Incongruent,Negative,False,False,0.000
141,<<><<,Right,Incongruent,Negative,False,False,0.000
142,>><>>,Left,Incongruent,Neutral,False,False,0.002
143,<<<<<,Left,Congruent,Neutral,False,False,0.002
144,>><>>,Left,Incongruent,Neutral,False,True,0.000
145,>>>>>,Right,Congruent,Neutral,False,False,0.000
146,>><>>,Left,Incongruent,Neutral,False,False,0.002
147,>><>>,Left,Incongruent,Negative,False,False,0.002
148,>><>>,Left,Incongruent,Neutral,False,True,0.000
149,>>>>>,Right,Congruent,Negative,False,False,0.000
150,<<<<<,Left,Congruent,Neutral,False,True,0.000
151,>>>>>,Right,Congruent,Neutral,False,False,0.002
152,>>>>>,Right,Congruent,Negative,False,False,0.000
153,>><>>,Left,Incongruent,Neutral,False,True,0.000
154,>><>>,Left,Incongruent,Negative,False,False,0.002
155,>>>>>,Right,Congruent,Negative,False,False,0.002
156,>>>>>,Right,Congruent,Negative,False,False,0.002
157,<<><<,Right,Incongruent,Neutral,False,False,0.002
158,<<<<<,Left,Congruent,Negative,False,False,0.002
159,>>>>>,Right,Congruent,Neutral,False,False,0.002
160,>>>>>,Right,Congruent,Negative,False,False,0.002
161,<<<<<,Left,Congruent,Neutral,False,False,0.002
162,<<<<<,Left,Congruent,Negative,False,False,0.002
163,<<<<<,Left,Congruent,Negative,False,False,0.002
164,<<<<<,Left,Congruent,Neutral,False,False,0.002
165,<<<<<,Left,Congruent,Negative,False,False,0.002
166,>>>>>,Right,Congruent,Neutral,False,False,0.002
167,>><>>,Left,Incongruent,Negative,False,False,0.002
168,>>>>>,Right,Congruent,Negative,False,False,0.002
169,<<><<,Right,Incongruent,Negative,False,False,0.002
170,>>>>>,Right,Congruent,Neutral,False,False,0.002
171,>>>>>,Right,Congruent,Negative,False,False,0.002
172,<<<<<,Left,Congruent,Negative,False,False,0.002
173,<<<<<,Left,Congruent,Neutral,False,False,0.002
174,>><>>,Left,Incongruent,Neutral,False,False,0.002
175,<<><<,Right,Incongruent,Negative,False,False,0.002
176,>><>>,Left,Incongruent,Neutral,False,False,0.002
177,>><>>,Left,Incongruent,Neutral,False,False,0.002
178,>><>>,Left,Incongruent,Negative,False,False,0.002
179,<<<<<,Left,Congruent,Negative,False,False,0.002
180,<<><<,Right,Incongruent,Negative,False,False,0.002
181,<<><<,Right,Incongruent,Neutral,False,False,0.002
182,<<<<<,Left,Congruent,Neutral,False,False,0.002
183,<<><<,Right,Incongruent,Negative,False,False,0.002
184,>>>>>,Right,Congruent,Negative,False,False,0.002
185,<<<<<,Left,Congruent,Negative,False,False,0.002
186,<<<<<,Left,Congruent,Neutral,False,False,0.002
187,>>>>>,Right,Congruent,Neutral,False,False,0.002
188,>><>>,Left,Incongruent,Neutral,False,False,0.002
189,<<><<,Right,Incongruent,Negative,False,False,0.002
190,<<<<<,Left,Congruent,Negative,False,False,0.002
191,<<><<,Right,Incongruent,Negative,False,False,0.002
192,>><>>,Left,Incongruent,Negative,False,False,0.002
193,<<><<,Right,Incongruent,Neutral,False,False,0.002
194,>><>>,Left,Incongruent,Negative,False,False,0.002
195,>><>>,Left,Incongruent,Neutral,False,False,0.002
196,<<><<,Right,Incongruent,Negative,False,False,0.002
