trialIndex,isVisualStimulus,isAudioStimulus,visualCorrect,audioCorrect,visualReactionTime,audioReactionTime,visualResultType,audioResultType,visualStimulusType,audioStimulusType
0,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,負面,負面
2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,負面,負面
3,False,True,True,False,-1,-1,CorrectRejection,Miss,負面,負面
4,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,普通
5,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,普通
6,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,負面,負面
7,False,True,True,False,-1,-1,CorrectRejection,Miss,普通,普通
8,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
9,True,True,False,False,-1,-1,Miss,Miss,普通,普通
10,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,普通
11,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
12,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
13,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
14,True,False,False,True,-1,-1,Miss,CorrectRejection,普通,負面
15,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
16,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
17,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,負面,普通
18,True,True,False,False,-1,-1,Miss,Miss,普通,普通
19,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection,普通,普通
20,False,True,True,False,-1,-1,CorrectRejection,Miss,負面,普通
21,False,True,True,False,-1,-1,CorrectRejection,Miss,普通,普通
