trialIndex,isVisualStimulus,isAudioStimulus,visualCorrect,audioCorrect,visualReactionTime(ms),audioReactionTime(ms),visualResultType,audioResultType
0,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,False,False,False,False,597.1055,0,FalseAlarm,FalseAlarm
2,False,True,False,True,736.0229,0,FalseAlarm,Hit
3,False,False,False,False,375.661,0,FalseAlarm,FalseAlarm
4,True,False,True,False,0,0,Hit,FalseAlarm
5,False,False,False,False,0,0,FalseAlarm,FalseAlarm
6,False,False,False,False,0,0,FalseAlarm,FalseAlarm
7,True,True,True,True,0,0,Hit,Hit
8,True,True,False,True,-1,0,Miss,Hit
9,False,False,False,False,645.9815,0,FalseAlarm,FalseAlarm
10,False,False,False,False,525.3454,0,FalseAlarm,FalseAlarm
11,False,False,False,False,423.5617,0,FalseAlarm,FalseAlarm
12,False,False,True,False,-1,0,CorrectRejection,FalseAlarm
13,False,False,True,False,-1,0,CorrectRejection,FalseAlarm
14,True,False,False,False,-1,276.6216,Miss,FalseAlarm
15,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
16,False,False,True,False,-1,417.2579,CorrectRejection,FalseAlarm
17,False,True,True,True,-1,0,CorrectRejection,Hit
18,True,False,False,False,-1,0,Miss,FalseAlarm
19,False,True,True,True,-1,0,CorrectRejection,Hit
20,True,False,False,False,-1,0,Miss,FalseAlarm
21,False,True,True,True,-1,0,CorrectRejection,Hit
0,False,False,True,False,-1,287.3536,CorrectRejection,FalseAlarm
1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,False,False,True,False,-1,0,CorrectRejection,FalseAlarm
3,False,False,True,False,-1,0,CorrectRejection,FalseAlarm
4,False,False,True,False,-1,0,CorrectRejection,FalseAlarm
5,False,False,True,False,-1,0,CorrectRejection,FalseAlarm
6,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
7,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
8,False,True,True,False,-1,-1,CorrectRejection,Miss
9,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
10,False,True,True,False,-1,-1,CorrectRejection,Miss
11,True,True,False,False,-1,-1,Miss,Miss
12,True,True,False,False,-1,-1,Miss,Miss
13,True,False,False,True,-1,-1,Miss,CorrectRejection
14,True,False,False,True,-1,-1,Miss,CorrectRejection
15,True,False,False,True,-1,-1,Miss,CorrectRejection
16,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
17,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
18,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
19,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
20,True,False,False,True,-1,-1,Miss,CorrectRejection
21,False,True,True,False,-1,-1,CorrectRejection,Miss
22,False,True,True,False,-1,-1,CorrectRejection,Miss
0,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,True,False,False,True,-1,-1,Miss,CorrectRejection
3,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
4,True,False,False,True,-1,-1,Miss,CorrectRejection
5,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
6,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
7,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
8,False,True,True,False,-1,-1,CorrectRejection,Miss
9,False,True,True,False,-1,-1,CorrectRejection,Miss
10,False,True,True,False,-1,-1,CorrectRejection,Miss
11,True,True,False,False,-1,-1,Miss,Miss
12,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
13,True,True,False,False,-1,-1,Miss,Miss
14,False,True,True,False,-1,-1,CorrectRejection,Miss
15,True,False,False,True,-1,-1,Miss,CorrectRejection
16,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
17,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
18,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
19,True,False,False,True,-1,-1,Miss,CorrectRejection
20,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
21,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
