trialIndex,nValue,isVisualStimulus,isAudioStimulus,visualCorrect,audioCorrect,visualReactionTime(ms),audioReactionTime(ms),visualResultType,audioResultType
0,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,2,True,False,False,True,-1,-1,Miss,CorrectRejection
3,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
4,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
5,2,True,True,False,False,-1,-1,Miss,Miss
6,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
7,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
8,2,True,False,False,True,-1,-1,Miss,CorrectRejection
9,2,False,True,True,False,-1,-1,CorrectRejection,Miss
10,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
11,2,False,True,True,False,-1,-1,CorrectRejection,Miss
12,2,True,False,False,True,-1,-1,Miss,CorrectRejection
13,2,True,True,False,False,-1,-1,Miss,Miss
14,2,False,True,True,False,-1,-1,CorrectRejection,Miss
15,2,True,False,False,True,-1,-1,Miss,CorrectRejection
16,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
17,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
18,2,False,True,True,False,-1,-1,CorrectRejection,Miss
19,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
20,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
21,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
0,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,1,True,True,False,False,-1,-1,Miss,Miss
3,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
4,1,True,True,False,False,-1,-1,Miss,Miss
5,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
6,1,False,True,True,False,-1,-1,CorrectRejection,Miss
7,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
8,1,False,True,True,False,-1,-1,CorrectRejection,Miss
9,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
10,1,True,False,False,True,-1,-1,Miss,CorrectRejection
11,1,True,False,False,True,-1,-1,Miss,CorrectRejection
12,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
13,1,True,False,False,True,-1,-1,Miss,CorrectRejection
14,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
15,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
16,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
17,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
18,1,True,False,False,True,-1,-1,Miss,CorrectRejection
19,1,False,True,True,False,-1,-1,CorrectRejection,Miss
20,1,False,True,True,False,-1,-1,CorrectRejection,Miss
0,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
3,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
4,1,True,False,False,True,-1,-1,Miss,CorrectRejection
5,1,True,False,False,True,-1,-1,Miss,CorrectRejection
6,1,True,False,False,True,-1,-1,Miss,CorrectRejection
7,1,False,True,True,False,-1,-1,CorrectRejection,Miss
8,1,True,True,False,False,-1,-1,Miss,Miss
9,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
10,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
11,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
12,1,True,True,False,False,-1,-1,Miss,Miss
13,1,False,True,True,False,-1,-1,CorrectRejection,Miss
14,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
15,1,False,True,True,False,-1,-1,CorrectRejection,Miss
16,1,False,True,True,False,-1,-1,CorrectRejection,Miss
17,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
18,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
19,1,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
20,1,True,False,False,True,-1,-1,Miss,CorrectRejection
