trialIndex,nValue,isVisualStimulus,isAudioStimulus,visualCorrect,audioCorrect,visualReactionTime(ms),audioReactionTime(ms),visualResultType,audioResultType
0,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
1,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
2,2,False,True,True,False,-1,-1,CorrectRejection,Miss
3,2,False,True,True,False,-1,-1,CorrectRejection,Miss
4,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
5,2,True,True,False,False,-1,-1,Miss,Miss
6,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
7,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
8,2,False,True,True,False,-1,-1,CorrectRejection,Miss
9,2,False,True,True,False,-1,-1,CorrectRejection,Miss
10,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
11,2,True,False,False,True,-1,-1,Miss,CorrectRejection
12,2,True,False,False,True,-1,-1,Miss,CorrectRejection
13,2,True,False,False,True,-1,-1,Miss,CorrectRejection
14,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
15,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
16,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
17,2,True,False,False,True,-1,-1,Miss,CorrectRejection
18,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
19,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
20,2,True,True,False,False,-1,-1,Miss,Miss
21,2,False,False,True,True,-1,-1,CorrectRejection,CorrectRejection
