Index,Type,IsNegative,IsCorrect,ResponseTime(s)
0,StarsArray,False,False,0.010
1,Incongruent,False,False,0.010
2,Congruent,False,False,0.010
3,StarsArray,True,False,0.010
4,StarsArray,False,False,0.010
5,Incongruent,True,False,0.010
6,Incongruent,False,False,0.010
7,Incongruent,True,False,0.010
8,StarsArray,False,False,0.010
9,StarsArray,True,False,0.010
10,Congruent,True,False,0.010
11,StarsArray,True,False,0.010
12,StarsArray,True,False,0.010
13,Congruent,False,False,0.010
14,StarsArray,False,False,0.010
15,Congruent,False,False,0.010
16,StarsArray,False,False,0.010
17,StarsArray,False,False,0.010
18,StarsArray,False,False,0.010
19,StarsArray,True,False,0.010
20,StarsArray,True,False,0.010
21,StarsArray,False,False,0.010
22,Incongruent,True,False,0.010
23,StarsArray,False,False,0.010
24,StarsArray,True,False,0.010
25,StarsArray,False,False,0.010
26,StarsArray,False,False,0.010
27,Incongruent,True,False,0.010
28,StarsArray,True,False,0.010
29,StarsArray,True,False,0.010
30,Congruent,False,False,0.010
31,StarsArray,True,False,0.010
32,StarsArray,True,False,0.010
33,StarsArray,True,False,0.010
34,Congruent,True,False,0.010
35,StarsArray,True,False,0.010
36,StarsArray,True,False,0.010
37,Congruent,True,False,0.010
38,Congruent,False,False,0.010
39,Congruent,False,False,0.010
40,StarsArray,True,False,0.010
41,StarsArray,True,False,0.010
42,StarsArray,True,False,0.010
43,StarsArray,True,False,0.010
44,StarsArray,False,False,0.010
45,StarsArray,False,False,0.010
46,Incongruent,True,False,0.010
47,StarsArray,False,False,0.010
48,Congruent,False,False,0.010
49,StarsArray,True,False,0.010
50,StarsArray,False,False,0.010
51,StarsArray,True,False,0.010
52,Incongruent,False,False,0.010
53,StarsArray,False,False,0.010
54,Congruent,True,False,0.010
55,StarsArray,False,False,0.010
56,StarsArray,False,False,0.010
57,Incongruent,True,False,0.010
58,StarsArray,False,False,0.010
59,Congruent,True,False,0.010
60,StarsArray,False,False,0.010
61,Incongruent,False,False,0.010
62,StarsArray,True,False,0.010
63,StarsArray,False,False,0.010
64,StarsArray,True,False,0.010
65,StarsArray,False,False,0.010
66,Congruent,False,False,0.010
67,Incongruent,True,False,0.010
68,StarsArray,True,False,0.010
69,StarsArray,False,False,0.010
70,StarsArray,True,False,0.010
71,StarsArray,False,False,0.010
72,StarsArray,True,False,0.010
